,UNDR01_2HCb,UNDR01_2MCb,UNDR03_102,UNDR03_117,UNDR03_118,UNDR03_119,UNDR03_121,UNDR03_122,UNDR03_123,UNDR03_1HAb,UNDR03_1HBb,UNDR03_1MAa,UNDR03_1MCa,UNDR03_2,UNDR03_22,UNDR03_23,UNDR03_24,UNDR03_25,UNDR03_26,UNDR03_27,UNDR03_2HBb,UNDR03_2MAa,UNDR03_2MBb,UNDR03_3,UNDR03_4,UNDR03_5,UNDR03_6,UNDR03_7,UNDR03_74,UNDR03_75,UNDR03_76,UNDR03_78,UNDR03_79,UNDR03_80,merge_NG-28520_B06,merge_NG-28520_B11,merge_NG-28520_B16,merge_NG-28520_B22,merge_NG-28520_B28,merge_NG-28520_B34,merge_NG-28520_B39,merge_NG-28520_B44,merge_NG-28520_B50,merge_NG-28520_B56,merge_NG-28520_B62,merge_NG-28520_B67,merge_NG-28520_B72,merge_NG-28520_B78,merge_NG-28520_B84,merge_NG-28520_B85,merge_NG-28520_B88,merge_NG-28520_B91,merge_NG-28520_B94,merge_NG-28520_B95,merge_NG-28520_B96
UNDR03_23-bin.1,18,25,2094,1332,1695,335,1034,1387,837,3,10,9,24,274141,175627,81154,35908,30359,2744,12134,83,35,13,547082,335383,82970,66281,77886,750,758,872,744,772,723,324,444,436,399,430,445,817,737,321,534,427,493,434,469,481,1392,1414,437,126,337,160
UNDR03_23-bin.23,1795,117,192,230,241,37,182,198,178,461,1663,124,119,10277,58,1889060,600,145204,3416,243186,4494,271,273,53239,43578,1161582,448334,322841,2475,1101,2386,16367,18747,13660,331,893,1166,325,271,286,960,1015,377,288,430,904,902,773,277,239,217,252,101,86,70
UNDR03_23-bin.25,5703,1615,7988,6558,7436,1494,5012,5766,5416,10810,32419,2513,2794,24167,346457,420583,477463,3461,7494,10909,12313,2741,2396,101546,53384,12760,4745,7026,5752,6062,6217,6380,5832,5159,2073,1789,2074,1987,2371,1869,3124,2936,1539,2597,3612,2446,2020,2137,2044,2711,2328,1748,660,1616,911
UNDR03_23-bin.3,345,209,962,726,790,232,594,725,527,60,298,495,507,541,733,629638,1230517,446,1201666,1671709,1211,364,336,98347,57486,1278,550,130886,860,673,2329,779,619,711,316,481,463,445,606,531,929,971,1045,633,409,651,678,1018,600,300,302,232,218,454,282
UNDR03_24-bin.13,10,4,40,43,32,7,19,16,24,0,5,1,6,10316,6373,88034,101389,23825,791,143927,61,6,4,81522,55515,2361,2961,4358,28,19,27,50,55,28,7,6,3,3,8,3,1,10,6,9,7,1,7,3,2,215,213,8,4,6,2
UNDR03_24-bin.14,98966,5065,1974,1776,2051,454,1379,1682,1389,7373,41366,288,416,154502,99113,50377,74553,44844,139641,87073,112587,16048,2939,325463,273185,182734,90797,129500,9729,8054,13487,10816,13819,10222,225,142,327,202,191,207,204,334,107,204,1693,246,214,197,174,4164,3383,3187,142,198,411
UNDR03_24-bin.18,2052,334,784,702,759,258,4063,3946,3918,8258,42708,88,99,84034,7164,9643,1479622,845052,2184120,215626,3184,1337,186,240440,245410,485751,237807,249271,6510,7598,8863,29880,25530,24772,206,102,104,84,111,133,157,156,106,99,174,146,87,111,108,138,140,112,71,75,46
UNDR03_24-bin.24,823,121,33,22,34,10,19,26,13,188,972,117,61,91,112,114,171732,27284,161876,66715,2398,187,325,175,4226,30439,16723,25933,225,198,264,650,862,704,35,26,24,16,40,20,36,36,35,44,45,48,38,43,30,33,54,32,24,28,12
UNDR03_24-bin.3,69823,3947,10123,413,412,127,297,339,314,14376,70617,1245,1524,113344,8904,13357,405157,5611,13764,2265,85853,13913,2085,228033,111933,312127,144559,186903,254477,201499,299931,272286,276189,210991,45,32,26,29,68,29,51,52,57,105,57,44,28,51,93,45,53,35,21,48,31
UNDR03_25-bin.0,19,12,295,307,422,60,206,230,250,16,53,42,29,1785,2406,3264,3396,255402,5603,3638,141,19,14,4576,3701,11634,451,1436,142,370,150,196,142,107,78,39,30,24,53,128,94,128,127,66,214,64,55,67,33,484,528,272,19,37,50
UNDR03_25-bin.13,116,11,159,106,95,28,173,172,166,38,156,16,11,36836,110182,26417,68994,112252,46608,73572,632,31,37,72720,25645,10842,5401,5993,22,48,113,55,27,13,32,19,27,10,37,51,48,31,18,39,239,53,20,31,45,83,78,194,29,43,28
UNDR03_25-bin.15,25132,3590,18767,767,691,231,435,514,418,5227,27564,906,1214,729599,995507,2041608,2408247,6236464,13599193,147922,24225,13009,1795,2253996,1098573,493240,377829,552309,710920,913387,923677,227475,223891,188210,87,56,66,65,85,62,102,105,91,58,84,69,52,80,83,127,108,67,25,48,23
UNDR03_25-bin.17,5853,460,763,328,168,58,104,92,52,794,3413,72,81,39,202,2820,99,231884,695,697,13987,704,667,133,129,102555,23225,37442,205,263,117,290,162,367,41,73,91,48,65,47,67,96,36,83,76,65,76,68,77,46,45,71,23,34,27
UNDR03_25-bin.20,1818,208,1635,446,515,105,469,612,565,1954,7453,238,189,5632,6512,2530,2395,198278,170054,83768,3636,362,376,5169,2931,56192,30949,38678,748,227,972,860,1021,821,251,552,447,351,315,184,486,249,194,490,1245,966,455,527,430,626,547,655,792,420,296
UNDR03_25-bin.21,176,240,176028,93871,71769,31905,4262,5992,4658,1,5,11,19,81675,2719,126836,4213,354634,2688,8328,465,153,301,155224,2253,89049,13642,52219,97880,128624,192381,135734,140753,44038,7708,8480,6597,6058,8150,9436,20009,15346,6130,8819,24042,18035,17005,20170,11357,14420,14801,1691,15957,27760,12214
UNDR03_25-bin.22,245,54,1280,499,13275,220,807,1031,1224,202,902,45,46,413,259,16690,358,177149,574742,1536304,758,124,73,1635,1285,188633,124033,138607,10026,7902,9294,18316,10591,9247,349,175,249,108,70,464,455,771,198,93,461,479,513,449,127,343,389,160,120,169,81
UNDR03_25-bin.26,141,20,308,3758,4197,1172,1927,3097,3318,20,92,9,5,22,36,393,84,181986,105038,69231,595,37,62,65,55,63834,29991,13257,7294,4818,8631,9584,11393,10350,997,1821,1139,995,1640,6365,4340,3473,2896,1596,3689,3253,2239,2829,744,3861,4019,6032,3620,1019,658
UNDR03_25-bin.8,67,37,593,816,1264,249,747,455,410,27,104,38,22,9711,94087,62036,524298,467100,4568,57053,369,81,58,354666,197932,72720,7069,195028,695,1145,588,489,388,291,178,314,278,305,443,148,484,260,401,486,126,349,212,351,375,72,72,110,79,187,123
UNDR03_26-bin.1,4214,729,856,450,335,93,526,576,607,2804,11515,411,363,50,224,2491,84,151220,304066,15710,10625,1010,1569,166,90,249147,70825,101460,1995,506,2246,6513,7200,6914,2102,1352,1348,598,749,1753,1224,1155,407,1038,2263,2045,1270,908,821,1371,1110,248,735,615,153
UNDR03_26-bin.11,263,54,15,34,53,9,17,14,21,103,418,88,44,15,130,150,84,93223,130434,291,1153,95,126,43,19,8412,4216,87,5,9,19,25,14,9,39,27,30,20,60,26,36,41,36,61,41,29,24,42,37,25,19,29,21,18,22
UNDR03_26-bin.12,337,33,33,33,26,10,19,13,19,135,668,48,47,58,523,192,460,171830,146475,73634,1368,77,91,129,85,35303,24040,33147,52,16,29,27,19,18,27,27,18,16,46,21,43,38,40,40,38,37,29,32,29,30,39,27,17,24,23
UNDR03_26-bin.17,3109,1828,2223,1525,1974,353,1153,1057,965,564,2682,2945,3372,11894,1320,1212,98584,932,374825,251218,6627,2625,3072,6414,27470,79381,40658,39490,1591,1335,1316,1803,1209,1490,453,536,551,533,762,413,826,617,447,852,1040,570,501,630,635,681,647,544,200,564,308
UNDR03_26-bin.2,300,300,20,6,6,1,8,6,13,98,466,30,11,29,63,18379,50888,49723,407007,1274981,781,574,275,44512,57256,214188,123287,44751,860,803,601,1050,397,639,13,47,37,25,41,20,53,31,42,37,11,28,15,25,24,7,8,16,6,15,10
UNDR03_26-bin.23,1018,76,565,420,433,106,314,369,313,160,831,39,20,36,71,4393,57,84448,477828,9904,3222,147,144,185,141,198547,67142,67675,379,342,364,896,722,692,571,1179,1230,660,1218,433,1014,1091,537,1329,581,862,826,796,920,322,271,273,259,217,272
UNDR03_26-bin.32,13778,8048,41,62,55,11,4,1,0,48,150,7130,10080,19553,39128,28862,23007,44818,129551,391,32902,14377,9686,18784,19171,22765,10122,8405,3775,4123,5462,1293,694,619,21,192,113,129,153,18,164,74,67,160,9,82,75,45,71,7,5,8,84,51,27
UNDR03_26-bin.37,42,21,3763,697,880,270,1008,2123,1333,2,20,7,9,183,167,156,440,186,225596,2129,209,27,34,656,425,1316,45516,948,1936,1212,1784,988,1100,852,671,1319,1170,836,949,518,1676,1295,748,1148,603,1174,755,852,1024,226,251,326,251,641,331
UNDR03_26-bin.6,27,10,178,368,366,73,240,255,221,4,40,6,3,6518,6112,9206,17899,5185,482709,53224,170,21,21,18017,25087,3238,1186,2386,162,193,233,354,259,298,207,244,414,97,122,127,458,461,320,165,107,496,263,352,200,202,210,35,133,109,82
UNDR03_26-bin.8,4838,574,2145,1258,1364,354,3373,3704,3334,2808,13690,106,135,32595,47665,56111,96203,5762,61005,1110,5927,2288,289,152549,85947,84076,32689,70128,24073,22353,32274,22169,26250,21191,442,165,329,343,209,458,387,521,154,183,796,319,307,218,145,722,561,320,129,263,219
UNDR03_27-bin.11,1264,837,15732,6535,13438,2082,4914,5254,4853,154,855,899,893,1476,3282,2631,3027,3240,3033,2010994,3512,1110,1368,5828,3208,27015,15266,19301,6943,5352,5342,5496,3210,7931,2696,4248,3726,3684,4533,2188,5782,4769,2340,4916,8618,4330,3656,3778,4334,4309,3682,2910,1401,3525,1968
UNDR03_27-bin.2,4626,6541,245549,72624,141143,17246,38601,28777,33704,15,32,98,205,8747,31372,11795,20510,23924,6444,28871629,13945,4469,7102,35501,26185,1715529,1573331,1172338,74700,42857,26284,27726,17215,38518,6350,3899,3992,2730,2909,5138,6352,8520,2474,4132,105474,13747,7380,6501,4609,73310,58784,27260,6125,11082,10680
UNDR03_27-bin.21,84,220,323,35516,31792,1516,385,122,335,5,17,111,177,140,620,593,909,287,70539,154600,378,199,267,92,43,358,5589,3979,403,167,324,431,237,75,251,235,86,88,73,85,348,73,234,139,619,577,194,282,156,664,372,175,76,285,90
UNDR03_27-bin.28,8667,2380,6758,8180,10479,1898,4109,4519,4208,2430,12621,3107,3896,2421,2854,2887,4756,2565,8466,990333,15217,4142,3363,5812,3844,10894,4592,8719,4865,4070,4585,5693,4233,4255,12749,8139,8266,6386,9500,8061,7987,6326,5122,8280,5930,4497,4223,4150,4072,3987,3751,2655,2798,2503,2053
UNDR03_27-bin.30,1311,168,1421,4509,3343,1428,2724,2376,2183,243,1443,227,195,120,117,206,341,262,799,531731,3053,351,384,291,197,1128,341,17224,1043,794,1408,1182,988,1063,36059,21909,20402,11922,14900,22045,15969,11956,8613,11412,12215,8861,6239,5131,4764,5995,6646,11194,3078,547,1276
UNDR03_27-bin.32,7821,1878,12,86,126,13,54,55,52,9030,33797,263,290,6268,27671,45748,441227,3695,7357,467912,12737,5262,1610,6353,13113,28582,9750,13950,359,351,613,14378,13321,19934,22,7,12,16,10,13,11,16,9,11,38,18,15,14,10,100,114,52,12,268,13
UNDR03_27-bin.33,12160,2739,110,49,98,22,32,40,38,12329,49659,529,661,43883,5825,261791,88244,1577,376900,1528772,18283,7263,2433,104198,46346,480579,142645,255549,4594,4834,8744,7837,5864,5897,17,6,7,6,11,9,14,4,2,13,20,12,13,16,8,58,72,28,15,92,13
UNDR03_27-bin.34,113,116,913,8139,12271,2127,66444,20675,12744,19,93,48,46,2171,976,3744,5432,556,1718921,2518820,492,173,112,2204,1289,1518,7694,26175,4525,5760,5806,3566,1977,2580,302,424,138,702,812,278,661,323,1606,417,472,219,172,178,212,3576,3052,1543,56,112,399
UNDR03_27-bin.7,19133,1981,166,2793,3614,926,2968,1169,1403,74,216,45,62,225,6539,351,58913,13669,183231,946317,29858,4584,1583,745,14492,22122,9952,7424,2413,3196,3130,32588,24378,26774,396,8917,44073,13476,27579,433,8188,25248,9916,30090,342,7351,16863,27051,21207,117,106,51,18272,2101,3007
UNDR03_2HBb-bin.13,148349,15432,182,105,81,21,144,160,96,5098,18314,163,140,7,36,57,13,397,800,61,312463,10995,25068,14,8,65668,29299,40423,273,167,328,6013,6488,7893,117,247,284,59,142,95,223,216,53,227,158,292,259,185,171,122,138,54,46,102,32
UNDR03_2HBb-bin.14,48354,1261,4,2,1,0,0,3,5,286,968,13,30,1,3,1,5,0,8,23,83732,1952,1429,2,0,133,43,30,19,9,7,193,109,171,4,3,6,15,11,3,8,12,9,20,6,6,2,18,27,6,7,6,11,16,7
UNDR03_2HBb-bin.16,927484,999400,1006,239,381,43,171,106,122,4089,23582,1495332,2165544,7239,98,73,72,6,36,2194,1180463,883135,1884307,13697,6841,5853,2267,2861,6527,6347,7028,2969,3115,3352,60,49,42,36,61,43,40,28,51,80,394,99,79,66,81,223,198,218,64,406,75
UNDR03_2HBb-bin.18,188265,5518,3,12,5,0,10,7,12,3046,12024,116,165,3,0,21,5,384,126,49,308209,7943,5978,8,3,2688,731,830,66,41,63,2258,1799,2454,7,4,8,4,22,7,19,19,12,23,26,14,10,22,23,8,19,8,11,7,5
UNDR03_2HBb-bin.2,115369,6016,161,89,90,65,114,151,97,2496,8854,9765,13597,74,57,19,42,365,447,76,238147,5521,9337,167,120,3174,1172,1541,225,164,247,775,698,938,53,73,110,28,76,51,78,93,32,104,112,125,116,106,103,99,100,57,33,50,60
UNDR03_2HBb-bin.21,3282736,362326,33669,57364,61652,18941,32672,41533,37488,465339,2409005,27785,39444,19798,3705,2493,5831,2252,6935,9597,3994248,1121276,193626,52423,46451,497625,181069,269747,26956,31721,33853,259620,230523,174195,10460,10581,7368,7843,5628,8116,17171,10569,5976,5544,9102,12155,7125,7187,4865,15896,14145,5782,4103,7634,2551
UNDR03_2HBb-bin.24,170910,9878,464,337,354,66,282,277,231,903,3597,103,106,151,256,336,468,812,1375,1922,319135,11438,11948,433,225,3909,1416,1837,369,321,337,3552,3948,3741,184,143,138,123,155,164,246,260,131,192,272,212,155,181,164,172,182,143,57,77,59
UNDR03_2HBb-bin.35,101512,12123,7,1,1,2,3,1,3,5349,20487,111,141,9,1,3,1,0,3,8,220559,12756,14302,36,17,41692,18546,17505,137,121,165,1114,863,601,6,8,5,3,10,12,9,12,7,6,13,11,13,12,9,14,11,7,3,7,6
UNDR03_2HBb-bin.36,201457,17606,81,23,6,4,9,6,3,4360,17461,316,347,2,30,1,4,15,49,62,555396,16569,20563,10,3,1785,875,601,52,67,23,43,45,83,7,9,5,5,17,2,9,12,4,13,6,9,7,13,14,5,5,19,5,9,6
UNDR03_2HBb-bin.40,233449,194784,107,32,61,10,38,50,43,17,53,461,403,4,3,4,4,1,7,14,564114,323160,263160,8,11,43,8,3,781,1298,1403,2233,1676,1466,24,25,21,10,21,18,13,17,10,26,18,25,30,20,22,31,39,45,26,123,20
UNDR03_2HBb-bin.42,245857,487020,4503,7530,5674,1215,2442,2836,2830,289,1535,81335,115786,2746,317,18,36,187,87,42,492763,442610,1167368,5613,4750,17944,4255,3122,5217,3788,8950,7614,5089,5492,2996,2158,2973,3128,4910,2344,2134,1957,1552,7151,15694,18236,21525,28242,14012,19456,14185,20776,980,5268,4738
UNDR03_2HBb-bin.49,45585,790,1,1,0,1,1,1,0,3013,11185,50,50,1,3,2,3,3,6,33,73863,1213,863,2,2,1533,454,338,2,1,5,81,37,43,4,5,1,1,6,4,2,4,2,4,3,4,7,4,7,6,3,1,6,1,1
UNDR03_2HBb-bin.56,350927,8300,24,21,19,2,35,36,37,4888,23574,124,204,19,14,103,19,336,151,140,637870,12068,9291,26,22,6866,1965,3227,78,61,69,6288,6592,7106,21,19,19,18,35,22,31,33,19,35,16,27,17,24,38,15,30,15,8,20,13
UNDR03_2HBb-bin.59,121659,4191,15,2,11,0,6,7,1,2072,7779,21,39,4,24,553,42,35,107,194,168129,6086,4234,22,12,3578,1299,1724,57,50,51,2493,1635,2983,6,14,6,4,15,7,12,12,6,10,17,10,13,9,13,6,4,7,3,10,6
UNDR03_2HBb-bin.6,39227,8648,498,112,182,49,166,138,131,146,606,2080,2747,7861,21010,11934,5557,23417,4439,13558,86019,15053,10658,25775,11127,22020,10433,12068,7227,4315,12745,16190,10422,8498,2,3,16,11,13,21,0,7,4,14,377,20,4,4,6,31,42,1216,5,16,95
UNDR03_2HBb-bin.65,169651,83354,1,2,0,1,0,2,2,2,7,21,23,5,4,6,2,4,10,1,430948,160914,82977,11,4,49,10,12,89,79,72,193,177,237,4,1,1,0,2,0,2,0,6,2,1,1,1,0,4,4,2,0,1,3,2
UNDR03_2HBb-bin.66,249100,32331,12,4,1,0,12,9,10,10325,28975,484,342,9700,51100,27735,46325,39555,65114,32958,543752,39521,29432,28733,324,328178,167519,147215,1071,7399,6993,45196,33813,63806,1,0,2,4,2,0,1,1,0,1,2,1,0,2,0,2,5,0,2,0,8
UNDR03_2HBb-bin.67,410693,22047,568,569,546,1061,448,474,473,2138,5633,3308,2981,468,513,605,1100,321,1496,1021,759165,40537,17605,1146,787,2858,792,912,759,553,555,2095,1385,1061,93,128,151,118,146,92,193,194,98,137,183,101,111,125,137,182,184,112,51,112,60
UNDR03_2HBb-bin.69,64495,3388,12,3,3,1,4,7,11,79,342,150,169,12,14,40,20,61,191,551,181331,6270,2838,44,22,289,71,110,73,74,77,6537,6601,6006,5,5,3,4,7,6,2,4,11,7,9,9,5,17,12,6,5,3,3,9,7
UNDR03_2MAa-bin.13,243679,70561,102,43,47,14,26,21,28,28526,108542,328,492,30,32,27,51,13,253,441,522826,103921,94355,44,34,43593,11291,11847,793,969,1146,7262,4588,4053,28,41,26,28,71,24,62,40,47,54,45,32,24,45,34,28,25,40,11,31,20
UNDR03_2MAa-bin.18,15067,153411,141,69,115,32,144,140,119,1209,4762,1745,2254,637,36,39,78,34,143,9,36087,316517,167807,960,651,5030,1914,1543,933,1259,1253,2480,2632,1889,11,26,42,38,18,4,17,24,25,32,69,47,27,30,25,200,146,178,330,37,363
UNDR03_2MAa-bin.20,249238,506616,1200,1536,1206,279,585,685,614,312,1850,33511,51392,858,471,235,407,323,794,2092,464854,488914,1041349,1887,1632,9935,2177,1955,1291,1602,1935,2938,1795,1577,1844,1469,2109,2233,3357,1244,1473,1453,1224,4604,3180,3956,3250,3799,3635,4851,3727,3203,560,2221,1007
UNDR03_2MAa-bin.21,170331,315603,19,8,5,1,9,4,4,63,348,9484,12668,62,1,6,9,6,14,26,327991,290023,617583,119,61,96,26,25,337,639,500,817,555,545,28,31,39,28,62,17,17,34,31,60,41,42,74,82,69,56,73,57,42,106,49
UNDR03_2MAa-bin.23,106239,163379,110,118,109,21,51,57,59,368,1836,54030,73938,594,29,18,46,12,65,53,177990,146899,341632,1102,605,1263,267,238,739,731,729,1250,682,882,125,111,146,149,189,74,97,88,101,257,168,284,180,255,236,284,229,183,50,155,54
UNDR03_2MAa-bin.29,4060,11264,0,0,1,0,1,0,0,29,75,1052,1657,0,0,0,4,0,1,0,8470,25326,10039,0,1,15,8,3,2,3,13,11,10,8,0,1,4,5,6,1,2,2,2,3,1,8,10,10,5,2,2,0,0,0,1
UNDR03_2MAa-bin.37,84634,160369,399,666,496,115,241,247,208,30,117,3916,4743,39,4,1,4,7,7,12,164111,141684,324144,112,37,222,50,40,727,699,1212,1248,832,842,450,366,474,453,803,317,296,306,266,1107,1592,1851,2019,2591,1557,2111,1525,2060,135,641,475
UNDR03_2MAa-bin.41,12342,13438,328,27,30,13,79,98,106,2313,10239,7155,9137,11013,1122,1510,2144,934,1174,204,26420,55753,8639,24163,19052,25637,10404,15400,10639,12610,14443,13671,11044,10644,2,4,5,3,4,8,6,2,10,8,7,4,2,8,3,3,7,3,1,1,7
UNDR03_2MBb-bin.11,105363,298859,72,107,75,12,43,56,34,25,121,5595,7567,102,46,8,11,14,13,13,217473,300169,542698,226,197,940,214,132,514,504,569,562,482,402,161,165,182,229,260,129,142,116,135,312,232,367,279,367,327,401,294,268,90,207,88
UNDR03_2MBb-bin.12,98014,208180,1141,1744,1330,279,558,709,699,42,181,5415,7082,136,66,4,12,20,31,28,178292,176476,394924,343,249,1135,289,235,1289,1485,2385,2479,1717,1674,2425,1719,2600,2831,4219,1609,1654,1700,1346,6116,5017,6486,5882,7424,5634,7256,5318,5671,589,3011,1630
UNDR03_2MBb-bin.14,121660,44243,138,206,156,24,64,62,83,101,440,4605,6664,24,5,2,10,4,15,12,192504,31940,97340,51,26,202,50,22,260,195,337,454,353,366,72,53,56,74,126,55,33,33,50,156,786,721,985,1238,471,730,667,1142,70,220,261
UNDR03_2MBb-bin.15,101143,191006,314,215,237,54,124,123,128,354,1796,47789,66802,340,172,178,335,119,747,1723,176344,199253,385844,879,516,1952,414,488,1055,932,1134,1182,755,652,72,83,103,76,143,77,128,93,113,147,153,100,101,132,113,110,105,129,62,373,54
UNDR03_2MBb-bin.16,29765,56969,41,73,41,14,20,13,14,15,68,1718,2079,16,17,1,4,3,14,9,62165,62876,123762,26,58,248,52,30,83,87,144,168,113,112,112,89,117,110,151,65,83,70,90,207,135,231,225,211,195,260,189,174,79,141,58
UNDR03_2MBb-bin.19,87917,209797,140,142,159,49,94,82,86,120,607,7143,8647,91,226,206,474,157,552,588,116123,157819,345142,261,182,869,194,152,381,491,455,601,407,362,48,30,35,38,62,30,28,53,34,68,73,57,74,71,60,70,78,59,25,114,36
UNDR03_2MBb-bin.2,59009,64697,4986,2931,4512,918,5042,5270,4498,1,3,18,17,0,1,0,0,0,1,0,141936,147088,82231,2,0,10,11,7,4802,11621,10103,22274,11949,11721,185,276,107,487,301,129,286,81,111,363,2481,1160,422,444,359,8549,6111,5790,13432,1777,12932
UNDR03_2MBb-bin.20,37123,57199,12,4,2,3,2,6,3,14,32,1905,2570,9,0,0,0,0,0,3,73752,62118,111320,16,12,33,3,7,338,510,401,893,668,789,2,4,14,5,14,4,2,3,4,17,10,24,19,19,5,12,19,24,11,21,7
UNDR03_2MBb-bin.23,59703,109958,16,8,2,3,5,3,3,17,53,2172,2605,24,5,1,3,3,6,17,117937,95031,215481,43,20,75,13,7,238,319,312,467,385,338,24,29,28,34,42,14,18,15,32,44,38,55,51,49,44,52,52,49,25,63,15
UNDR03_2MBb-bin.26,83791,134363,30,15,19,3,4,7,5,30,117,5533,8776,115,7,1,5,1,10,43,161275,151771,255603,319,98,359,104,95,348,439,465,681,620,564,45,40,45,42,68,24,28,23,41,73,48,66,61,56,71,73,85,50,26,60,25
UNDR03_2MBb-bin.27,46245,108154,38,14,14,8,8,5,4,434,3031,122546,174397,1174,4,7,12,9,27,25,81459,76579,207233,2353,1205,1559,526,609,686,810,883,1032,792,1062,11,16,24,5,26,10,33,15,18,25,19,48,39,34,25,27,32,30,21,50,27
UNDR03_2MBb-bin.30,118147,351849,94,13,23,5,13,19,21,9,31,406,217,6,7,3,4,0,11,17,225324,392265,638117,10,10,80,14,5,1556,1675,1723,1655,1080,922,30,11,18,21,39,22,7,23,17,51,28,39,48,44,52,29,46,32,25,54,21
UNDR03_2MBb-bin.32,99340,185001,22,12,12,55,11,4,8,363,810,38872,54467,38,7,8,17,2,15,19,144879,146749,350775,149,66,105,39,61,215,202,236,383,245,220,38,23,33,21,61,15,17,11,14,44,28,59,47,51,38,45,47,42,21,50,28
UNDR03_2MBb-bin.33,38266,156671,13,31,15,8,13,17,10,55,253,5794,6814,29,18,4,1,2,12,9,76867,81632,302414,88,59,266,65,54,123,127,177,412,205,291,54,49,83,85,99,37,46,46,70,103,63,119,122,116,103,134,116,78,54,113,37
UNDR03_2MBb-bin.36,56817,113333,1581,1244,1241,410,1037,1140,1144,800,2324,29699,30540,849,820,906,1964,816,1934,1736,109511,112099,223353,2323,1348,4876,1429,1630,1356,1430,1760,1928,1393,1455,128,113,130,156,168,86,96,91,109,206,628,755,938,1220,539,680,530,992,117,195,203
UNDR03_2MBb-bin.38,231940,364465,104,101,86,14,51,39,27,31,101,3373,4036,60,25,5,8,9,17,15,471250,405668,663274,146,128,709,130,103,663,801,857,1507,1130,974,149,164,194,218,292,107,112,122,139,369,243,295,257,312,301,386,318,267,79,228,101
UNDR03_2MBb-bin.39,375403,784510,127,159,119,33,67,88,67,33,132,3567,3849,54,62,7,10,15,61,27,754009,654931,1746149,105,137,696,136,102,1254,1706,1812,1945,1592,1187,277,283,374,345,469,205,242,225,234,575,371,612,535,615,530,666,580,402,167,397,147
UNDR03_2MBb-bin.42,628950,921694,213,288,217,39,126,117,80,37,115,3290,3944,142,77,8,19,17,32,24,1226950,987447,1840577,319,297,1654,367,247,1170,2383,1998,3542,2599,1845,487,439,591,676,839,314,351,347,361,1166,627,948,711,845,912,1116,892,674,237,634,236
UNDR03_2MBb-bin.44,165171,244610,499,786,581,125,251,285,246,130,518,29522,45046,365,36,3,7,10,27,10,338442,234250,498072,1106,604,3666,947,697,739,989,1341,1601,1116,920,1195,840,1301,1417,2021,839,796,813,697,2949,2050,2690,2420,3005,2628,3313,2423,2092,317,1375,731
UNDR03_2MBb-bin.46,28856,74139,14,26,15,5,7,6,12,11,66,1351,1383,15,10,4,5,1,8,22,44008,61899,133817,27,34,135,22,7,229,220,267,285,275,303,45,48,35,34,67,18,25,12,35,66,50,69,72,83,79,80,80,62,31,68,27
UNDR03_2MBb-bin.47,39983,55392,486,315,291,359,284,310,304,988,1326,27131,34634,279,249,287,704,318,722,657,73914,47898,110939,716,462,931,330,469,532,632,600,850,739,683,7,8,10,7,10,2,2,22,7,17,10,20,23,21,10,13,17,10,8,26,23
UNDR03_2MBb-bin.5,28391,91999,227,359,260,49,121,124,144,13,80,2447,2560,171,77,3,6,17,28,11,56437,55383,194139,334,399,2237,453,334,259,330,416,544,359,279,492,401,573,684,927,342,380,417,405,1305,836,1128,927,1079,1035,1393,1031,840,227,641,268
UNDR03_2MBb-bin.61,48029,89824,609,657,577,179,369,439,448,298,1037,20642,25193,1555,549,233,562,378,592,544,93289,80250,183494,4100,2895,14275,3910,3231,625,942,1080,1397,1030,973,1099,813,1204,1315,1804,741,712,747,627,2721,1487,1879,1300,1389,1856,2546,1928,1203,273,1189,412
UNDR03_2MBb-bin.63,295747,171151,53,12,9,34,14,12,4,5872,35864,1017672,1404682,5527,8,13,17,8,18,34,357557,96928,292168,15555,6254,7944,3115,3903,1009,1166,1219,2258,1722,1696,14,8,6,9,14,9,8,18,4,13,7,9,20,15,11,20,22,16,9,23,34
UNDR03_2MBb-bin.64,13345,64415,84,79,67,16,53,59,39,52,322,14055,20965,542,55,34,86,25,80,71,29431,47869,119061,616,339,1978,508,416,448,380,346,275,187,263,88,107,123,118,139,57,94,66,78,170,90,185,141,185,139,199,164,102,68,109,45
UNDR03_2MBb-bin.65,36921,70329,25,20,11,1,14,12,8,12,33,1014,1013,1,1,6,14,7,16,18,81995,69741,124873,16,2,29,6,7,197,328,363,501,398,411,8,9,10,6,9,8,6,6,5,20,12,28,21,17,19,23,21,21,9,28,8
UNDR03_2MBb-bin.67,264011,300382,130,21,27,6,31,69,58,28,147,3810,5423,21,3,6,9,5,23,26,477488,346350,567478,51,25,125,23,27,648,952,841,1515,1107,820,31,28,46,41,66,28,27,37,29,74,44,69,53,74,69,99,73,55,43,92,33
UNDR03_2MBb-bin.9,46098,52197,37,38,19,6,12,14,5,11,59,939,964,13,5,1,2,1,6,2,102969,41761,133244,8,29,175,33,9,98,171,132,437,215,156,58,54,79,66,124,36,53,49,60,125,79,132,114,134,111,124,121,105,37,98,42
UNDR03_3-bin.0,37,27,864,758,778,201,710,657,545,5,9,16,14,970,311,60947,435,3860,278,31446,189,23,45,1171101,3577,5918,127082,29467,1357,1165,3941,1239,671,840,341,103,222,126,225,1285,2733,6522,2028,225,1481,1371,3841,3352,239,763,834,350,113,380,295
